MJD,Aether_x,Aether_y,Aether_z,Aether_vx,Aether_vy,Aether_vz,Caelus_x,Caelus_y,Caelus_z,Caelus_vx,Caelus_vy,Caelus_vz,Ventus_x,Ventus_y,Ventus_z,Ventus_vx,Ventus_vy,Ventus_vz,Glacia_x,Glacia_y,Glacia_z,Glacia_vx,Glacia_vy,Glacia_vz
61445.0,-38231551.622514,30033448.672399,0.000000,-33.329929,-41.348783,0.000000,-128175146.620677,31869728.353623,0.000000,-8.591890,-31.068554,0.000000,168059697.787411,-200915941.795115,0.000000,16.452433,15.005184,0.000000,-286469407.157429,-262256761.186697,0.000000,12.826025,-14.636312,0.000000
61450.0,-47874029.942843,9514501.949462,0.000000,-10.517099,-51.839711,0.000000,-131159414.958472,18294095.097636,0.000000,-5.215710,-31.721863,0.000000,175043700.482202,-194289739.198185,0.000000,15.876538,15.668512,0.000000,-280865447.363506,-268521023.564447,0.000000,13.117204,-14.363897,0.000000
61455.0,-47001768.187821,-13098838.362312,0.000000,14.484314,-50.894110,0.000000,-132676859.674571,4513669.298388,0.000000,-1.807138,-32.016742,0.000000,181773277.355966,-187381154.188626,0.000000,15.274608,16.312349,0.000000,-275137041.032642,-274666310.275462,0.000000,13.402145,-14.085526,0.000000
61460.0,-35796467.679516,-32825894.445272,0.000000,36.465403,-38.686258,0.000000,-132721325.313943,-9317046.753880,0.000000,1.597698,-31.955315,0.000000,188237276.256847,-180198815.837270,0.000000,14.647087,16.935727,0.000000,-269286911.350485,-280690083.251783,0.000000,13.680717,-13.801360,0.000000
61465.0,-16625639.384246,-45226291.221929,0.000000,50.640441,-17.536860,0.000000,-131302042.136506,-23045167.147120,0.000000,4.963730,-31.542904,0.000000,194424743.386791,-172751773.105789,0.000000,13.994449,17.537669,0.000000,-263317835.781257,-286589874.932615,0.000000,13.952800,-13.511566,0.000000
61470.0,6313698.274720,-47307117.737366,0.000000,53.479563,8.216560,0.000000,-128443128.512863,-36520754.369890,0.000000,8.257127,-30.787798,0.000000,200324936.527855,-165049498.335969,0.000000,13.317202,18.117192,0.000000,-257232643.903553,-292363289.487239,0.000000,14.218274,-13.216309,0.000000
61475.0,27747491.950543,-38303631.206564,0.000000,43.693791,32.731247,0.000000,-124183023.662623,-49598055.863506,0.000000,11.445440,-29.701049,0.000000,205927339.154246,-157101890.622043,0.000000,12.615883,18.673304,0.000000,-251034215.217925,-298008003.957873,0.000000,14.477026,-12.915761,0.000000
61480.0,42488856.988682,-20099403.048509,0.000000,23.071644,49.851060,0.000000,-118573864.723848,-62136652.688905,0.000000,14.497719,-28.296268,0.000000,211221675.469883,-148919278.996439,0.000000,11.891068,19.205006,0.000000,-244725476.929786,-303521769.321979,0.000000,14.728949,-12.610092,0.000000
61485.0,46819398.006963,3016370.866260,0.000000,-3.468815,54.921202,0.000000,-111680818.655971,-74002529.156684,0.000000,17.384606,-26.589461,0.000000,216197926.408939,-140512425.353504,0.000000,11.143371,19.711293,0.000000,-238309401.711095,-308902411.473657,0.000000,14.973940,-12.299479,0.000000
61490.0,39622739.977140,25391325.016078,0.000000,-29.110618,46.505711,0.000000,-103581376.093803,-85069072.806761,0.000000,20.078418,-24.598874,0.000000,220846346.633919,-131892527.029656,0.000000,10.373445,20.191155,0.000000,-231789005.444330,-314147832.123961,0.000000,15.211901,-11.984096,0.000000
61495.0,22748069.193495,41582271.546778,0.000000,-47.333743,26.973554,0.000000,-94364611.070818,-95218014.021033,0.000000,22.553224,-22.344865,0.000000,225157482.562331,-123071218.952094,0.000000,9.581989,20.643576,0.000000,-225167344.952175,-319256009.620112,0.000000,15.442740,-11.664123,0.000000
61500.0,413775.583299,47842786.421397,0.000000,-53.951734,1.545685,0.000000,-84130407.576554,-104340313.885212,0.000000,24.784921,-19.849793,0.000000,229122191.448887,-114060575.261598,0.000000,8.769744,21.067539,0.000000,-218447515.716343,-324224999.683792,0.000000,15.666372,-11.339740,0.000000
61505.0,-22042719.419825,42969762.857591,0.000000,-48.005840,-23.547062,0.000000,-72988651.250938,-112337007.751369,0.000000,26.751324,-17.137925,0.000000,232731661.545214,-104873110.308210,0.000000,7.937501,21.462023,0.000000,-211632649.588906,-329052936.068816,0.000000,15.882713,-11.011128,0.000000
61510.0,-39525693.051901,28353069.555664,0.000000,-31.448369,-42.761630,0.000000,-61058382.184308,-119120010.345536,0.000000,28.432254,-14.235348,0.000000,235977433.353360,-95521778.911685,0.000000,7.086100,21.826010,0.000000,-204725912.499440,-333738031.138682,0.000000,16.091688,-10.678468,0.000000
61515.0,-48248304.519536,7435078.747939,0.000000,-8.217295,-52.245248,0.000000,-48466902.820817,-124612886.260255,0.000000,29.809657,-11.169896,0.000000,238851421.982684,-86019975.771643,0.000000,6.216436,22.158482,0.000000,-197730502.161244,-338278576.364616,0.000000,16.293226,-10.341946,0.000000
61520.0,-46378324.492228,-15118867.923535,0.000000,16.722277,-50.217833,0.000000,-35348833.392732,-128751587.307659,0.000000,30.867733,-7.971071,0.000000,241345940.612091,-76381533.905407,0.000000,5.329458,22.458429,0.000000,-190649645.779819,-342672942.744896,0.000000,16.487261,-10.001745,0.000000
61525.0,-34305403.595070,-34339042.668348,0.000000,38.169755,-37.053288,0.000000,-21845106.189868,-131485155.519486,0.000000,31.593086,-4.669960,0.000000,243453725.050839,-66620721.984666,0.000000,4.426173,22.724844,0.000000,-183486597.766715,-346919581.146370,0.000000,16.673733,-9.658051,0.000000
61530.0,-14586699.873574,-45881687.748326,0.000000,51.417811,-15.267668,0.000000,-8101889.348043,-132776387.603410,0.000000,31.974904,-1.299137,0.000000,245167959.381232,-56752240.435493,0.000000,3.507650,22.956734,0.000000,-176244637.461776,-351017022.569231,0.000000,16.852587,-9.311049,0.000000
61535.0,8443011.293472,-46930571.651316,0.000000,53.101268,10.632221,0.000000,5730569.209488,-132602453.446622,0.000000,32.005145,2.107452,0.000000,246482302.655429,-46791216.159974,0.000000,2.575019,23.153120,0.000000,-168927066.866718,-354963878.336223,0.000000,17.023773,-8.960926,0.000000
61540.0,29463275.186834,-36956216.637163,0.000000,42.187373,34.712880,0.000000,19499186.445258,-130955457.860177,0.000000,31.678761,5.514637,0.000000,247390916.606164,-36753195.731940,0.000000,1.629478,23.313039,0.000000,-161537208.392891,-358758840.207585,0.000000,17.187246,-8.607868,0.000000
61545.0,43364745.383635,-18087049.452909,0.000000,20.769450,50.875031,0.000000,33049384.931648,-127842931.267485,0.000000,30.993923,8.886208,0.000000,247888494.317409,-26654136.914210,0.000000,0.672290,23.435551,0.000000,-154078402.625973,-362400680.423155,0.000000,17.342967,-8.252061,0.000000
61550.0,46630484.774445,5206433.764285,0.000000,-5.986897,54.699634,0.000000,46226534.911902,-123288231.574952,0.000000,29.952257,12.185141,0.000000,247970289.785906,-16510398.340514,0.000000,-0.295212,23.519740,0.000000,-146554006.110230,-365888251.673166,0.000000,17.490902,-7.893691,0.000000
61555.0,38417955.757336,27221500.148154,0.000000,-31.192904,45.101910,0.000000,58877499.938949,-117330836.176761,0.000000,28.559089,15.373883,0.000000,247632148.287892,-6338727.202139,0.000000,-1.271622,23.564724,0.000000,-138967389.154889,-369220486.999347,0.000000,17.631020,-7.532944,0.000000
61560.0,20834024.057692,42616120.588705,0.000000,-48.471442,24.775629,0.000000,70852284.337069,-110026500.135442,0.000000,26.823672,18.414691,0.000000,246870537.447461,3843755.222516,0.000000,-2.255465,23.569654,0.000000,-131321933.665037,-372396399.628075,0.000000,17.763299,-7.170005,0.000000
61565.0,-1741281.647930,47856008.302829,0.000000,-53.918072,-0.882780,0.000000,82005775.767366,-101447254.283248,0.000000,24.759393,21.270029,0.000000,245682578.883669,14019570.357555,0.000000,-3.245190,23.533726,0.000000,-123621030.999365,-375415082.737358,0.000000,17.887717,-6.805060,0.000000
61570.0,-23938183.773297,41987002.204328,0.000000,-46.871107,-25.643699,0.000000,92199570.283584,-91681215.582015,0.000000,22.383946,23.903043,0.000000,244066080.292909,24170901.598902,0.000000,-4.239170,23.456181,0.000000,-115868079.856941,-378275709.159565,0.000000,18.004262,-6.438292,0.000000
61575.0,-40743499.955008,26617931.890544,0.000000,-29.509031,-44.089768,0.000000,101303860.553169,-80832181.862762,0.000000,19.719451,26.278085,0.000000,242019567.801301,34279616.220171,0.000000,-5.235705,23.336315,0.000000,-108066484.195094,-380977531.021832,0.000000,18.112922,-6.069884,0.000000
61580.0,-48530393.294801,5341449.411082,0.000000,-5.902721,-52.550816,0.000000,109199360.596411,-69018984.348752,0.000000,16.792499,28.361305,0.000000,239542318.399025,44327290.065894,0.000000,-6.233020,23.173483,0.000000,-100219651.180359,-383519879.326183,0.000000,18.213693,-5.700019,0.000000
61585.0,-45666064.098550,-17109943.550126,0.000000,18.930041,-49.444789,0.000000,115779232.777846,-56374574.433696,0.000000,13.634115,30.121293,0.000000,236634392.244900,54295235.174133,0.000000,-7.229265,22.967110,0.000000,-92330989.174303,-385902163.471443,0.000000,18.306575,-5.328877,0.000000
61590.0,-32747658.805099,-35785442.964633,0.000000,39.803057,-35.345147,0.000000,120950975.296318,-43044826.267883,0.000000,10.279611,31.529747,0.000000,233296664.605270,64164530.458736,0.000000,-8.222515,22.716694,0.000000,-84403905.755964,-388123870.719054,0.000000,18.391571,-4.956637,0.000000
61595.0,-12518706.730588,-46445691.612742,0.000000,52.094621,-12.962212,0.000000,124638221.596673,-29187043.926312,0.000000,6.768320,32.562166,0.000000,229530857.166814,73916055.566520,0.000000,-9.210777,22.421815,0.000000,-76441805.782465,-390184565.604977,0.000000,18.468691,-4.583479,0.000000
61600.0,10555012.769951,-46457810.306703,0.000000,52.612952,13.032509,0.000000,126782397.584468,-14968171.274482,0.000000,3.143203,33.198533,0.000000,225339568.438514,83530528.006053,0.000000,-10.191986,22.082144,0.000000,-68448089.489281,-392083889.299879,0.000000,18.537946,-4.209578,0.000000
61605.0,31117026.771657,-35530997.488500,0.000000,40.588818,36.625596,0.000000,127344178.924576,-562713.903015,0.000000,-0.549680,33.423962,0.000000,220726302.934266,92988543.622469,0.000000,-11.164013,21.697448,0.000000,-60426150.631496,-393821558.919821,0.000000,18.599354,-3.835109,0.000000
61610.0,44147705.981674,-16035937.399974,0.000000,18.420287,51.791010,0.000000,126304689.686390,13849604.750594,0.000000,-4.261842,33.229271,0.000000,215695498.804867,102270620.466476,0.000000,-12.124665,21.267600,0.000000,-52379374.667267,-395397366.789721,0.000000,18.652936,-3.460246,0.000000
61615.0,46341228.076165,7385293.255377,0.000000,-8.491328,54.360448,0.000000,123666385.710011,28086417.382002,0.000000,-7.943155,32.611472,0.000000,210252553.567086,111357246.075452,0.000000,-13.071694,20.792589,0.000000,-44311136.984603,-396811179.661838,0.000000,18.698718,-3.085161,0.000000
